MANDT,KOKRS,LSTAR,DATBI,DATAB,LEINH,LATYP,LATYPI,ERSDA,USNAM,KSTTY,AUSEH,AUSFK,VKSTA,LARK1,LARK2,SPRKZ,HRKFT,FIXVO,TARKZ,YRATE,TARKZ_I,MANIST,MANPLAN
900,A000,1,9999-12-31,2010-01-01,H,1,,2020-07-02,ANANDP,*,,0,94301000,,,,,,1,,5,,
900,A000,101,9999-12-31,2010-01-01,H,1,,2020-07-02,ANANDP,*,,0,94311000,,,,,,3,,,,
900,A000,102,9999-12-31,2010-01-01,H,1,,2020-07-02,ANANDP,*,,0,94311000,,,,,,3,,,,
900,A000,11,9999-12-31,2010-01-01,H,1,,2020-07-02,ANANDP,*,,0,94311000,,,,,,3,,,,
900,A000,2,9999-12-31,2010-01-01,H,1,,2020-07-02,ANANDP,*,,0,94302000,,,,,,3,,,,
900,A000,3,9999-12-31,2010-01-01,H,1,,2020-07-02,ANANDP,*,,0,94303000,,,,,,3,,,,
900,A000,8,9999-12-31,2010-01-01,H,1,,2020-07-01,ANANDP,*,,0,94308000,,,,,,3,,,,
